#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 02 02 00 999 99.0 99.0  0.58 12.50  6.22 226 9999.0 999.0  16.7 999.0 99.0 99.00
2018 01 02 02 30 999 99.0 99.0  0.56 12.50  5.91 214 9999.0 999.0  16.7 999.0 99.0 99.00
2018 01 02 03 00 999 99.0 99.0  0.51 12.50  5.54 218 9999.0 999.0  16.7 999.0 99.0 99.00
2018 01 02 03 28 999 99.0 99.0  0.53 12.50  6.06 223 9999.0 999.0  16.7 999.0 99.0 99.00
2018 01 02 04 00 999 99.0 99.0  0.56 16.67  6.33 221 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 02 04 30 999 99.0 99.0  0.54 16.67  6.21 243 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 02 05 00 999 99.0 99.0  0.56 11.76  6.84 223 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 02 05 30 999 99.0 99.0  0.55 12.50  6.90 222 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 02 06 00 999 99.0 99.0  0.59 15.38  7.72 229 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 02 06 30 999 99.0 99.0  0.52 12.50  6.77 225 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 02 07 00 999 99.0 99.0  0.55 16.67  6.96 240 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 02 07 30 999 99.0 99.0  0.59 16.67  7.25 257 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 02 08 00 999 99.0 99.0  0.58 15.38  6.18 232 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 02 08 30 999 99.0 99.0  0.63 15.38  5.89 216 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 02 09 00 999 99.0 99.0  0.63 16.67  5.80 251 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 02 09 30 999 99.0 99.0  0.61 15.38  6.22 237 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 02 10 00 999 99.0 99.0  0.55 15.38  5.83 244 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 02 10 30 999 99.0 99.0  0.59 15.38  6.51 218 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 02 11 00 999 99.0 99.0  0.58 15.38  6.67 228 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 02 11 30 999 99.0 99.0  0.58 16.67  6.78 244 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 02 12 00 999 99.0 99.0  0.55 15.38  6.29 229 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 02 12 30 999 99.0 99.0  0.57 15.38  5.98 221 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 02 13 00 999 99.0 99.0  0.59 15.38  6.05 239 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 02 13 30 999 99.0 99.0  0.60 16.67  5.13 249 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 02 14 00 999 99.0 99.0  0.66 16.67  5.81 261 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 02 14 30 999 99.0 99.0  0.66 15.38  6.06 239 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 02 15 30 999 99.0 99.0  0.61 15.38  6.41 266 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 02 16 30 999 99.0 99.0  0.64 15.38  6.80 270 9999.0 999.0  16.3 999.0 99.0 99.00
2018 01 02 17 00 999 99.0 99.0  0.66 16.67  6.65 270 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 02 17 30 999 99.0 99.0  0.65 15.38  6.83 268 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 02 18 00 999 99.0 99.0  0.64 15.38  6.68 267 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 02 18 30 999 99.0 99.0  0.60 15.38  6.91 254 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 02 19 00 999 99.0 99.0  0.62 15.38  7.08 266 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 02 19 30 999 99.0 99.0  0.60 15.38  6.34 271 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 02 20 00 999 99.0 99.0  0.65 15.38  6.97 268 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 02 20 30 999 99.0 99.0  0.69 15.38  7.04 267 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 02 21 00 999 99.0 99.0  0.66 15.38  6.17 256 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 02 21 30 999 99.0 99.0  0.66 14.29  6.28 274 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 02 22 00 999 99.0 99.0  0.67 15.38  6.05 246 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 02 22 30 999 99.0 99.0  0.67 15.38  6.27 261 9999.0 999.0  16.6 999.0 99.0 99.00
2018 01 02 23 30 999 99.0 99.0  0.71 15.38  5.79 273 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 03 00 00 999 99.0 99.0  0.68 15.38  5.59 259 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 03 00 30 999 99.0 99.0  0.69 15.38  5.65 256 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 03 01 00 999 99.0 99.0  0.67 15.38  5.73 229 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 03 01 30 999 99.0 99.0  0.74 14.29  6.82 267 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 03 02 00 999 99.0 99.0  0.70 14.29  6.51 277 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 03 02 30 999 99.0 99.0  0.77 14.29  7.55 275 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 03 03 30 999 99.0 99.0  0.70 14.29  6.70 284 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 03 04 00 999 99.0 99.0  0.67 14.29  6.82 277 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 03 04 30 999 99.0 99.0  0.72 14.29  6.52 270 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 03 05 00 999 99.0 99.0  0.72 14.29  6.93 263 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 03 05 30 999 99.0 99.0  0.66 14.29  6.27 280 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 03 06 00 999 99.0 99.0  0.69 14.29  6.67 264 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 03 06 30 999 99.0 99.0  0.74 13.33  6.73 288 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 03 07 00 999 99.0 99.0  0.74 14.29  6.69 261 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 03 07 30 999 99.0 99.0  0.73 14.29  7.09 274 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 03 08 00 999 99.0 99.0  0.72 14.29  6.83 268 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 03 08 30 999 99.0 99.0  0.83 13.33  6.71 281 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 03 09 00 999 99.0 99.0  0.80 14.29  6.94 278 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 03 09 30 999 99.0 99.0  0.82 14.29  6.66 250 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 03 10 00 999 99.0 99.0  0.72 15.38  6.18 257 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 03 10 30 999 99.0 99.0  0.77 13.33  6.83 285 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 03 11 00 999 99.0 99.0  0.78 14.29  7.45 270 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 03 11 30 999 99.0 99.0  0.79 14.29  7.51 244 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 03 12 00 999 99.0 99.0  0.86 13.33  8.29 287 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 03 12 30 999 99.0 99.0  0.71 14.29  7.62 254 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 03 13 00 999 99.0 99.0  0.71 14.29  7.54 253 9999.0 999.0  16.5 999.0 99.0 99.00
2018 01 03 13 30 999 99.0 99.0  0.78 13.33  8.55 273 9999.0 999.0  16.4 999.0 99.0 99.00
2018 01 03 14 00 999 99.0 99.0  0.71 14.29  8.24 254 9999.0 999.0  16.7 999.0 99.0 99.00
2018 01 03 14 30 999 99.0 99.0  0.83 13.33  9.25 281 9999.0 999.0  16.7 999.0 99.0 99.00
2018 01 03 15 00 999 99.0 99.0  0.78 12.50  9.18 292 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 03 15 30 999 99.0 99.0  0.73 13.33  9.31 287 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 03 16 00 999 99.0 99.0  0.80 13.33  9.97 296 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 03 16 30 999 99.0 99.0  0.89 13.33 10.45 288 9999.0 999.0  16.8 999.0 99.0 99.00
