#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 01 01 00 00 999 99.0 99.0  1.77 16.67 10.81 288 9999.0 999.0  16.2 999.0 99.0 99.00
2020 01 01 00 30 999 99.0 99.0  2.06 14.29 11.53 291 9999.0 999.0  16.2 999.0 99.0 99.00
2020 01 01 01 00 999 99.0 99.0  2.11 14.29 11.07 289 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 01 30 999 99.0 99.0  2.10 14.29 11.02 289 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 02 00 999 99.0 99.0  1.99 14.29 10.68 285 9999.0 999.0  16.2 999.0 99.0 99.00
2020 01 01 02 30 999 99.0 99.0  2.11 15.38 11.07 287 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 03 00 999 99.0 99.0  1.98 13.33 10.86 291 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 03 30 999 99.0 99.0  1.84 15.38 10.23 287 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 04 00 999 99.0 99.0  1.87 12.50 10.17 292 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 04 30 999 99.0 99.0  1.65 16.67  9.70 289 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 05 00 999 99.0 99.0  1.74 15.38  9.99 285 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 05 30 999 99.0 99.0  1.77 15.38  9.68 289 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 06 00 999 99.0 99.0  1.58 15.38  9.46 289 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 06 30 999 99.0 99.0  1.69 14.29  9.95 289 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 07 00 999 99.0 99.0  1.76 15.38 10.26 285 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 07 30 999 99.0 99.0  1.37 12.50  9.19 291 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 08 00 999 99.0 99.0  1.39 14.29  9.21 287 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 08 30 999 99.0 99.0  1.48 12.50  9.32 292 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 09 00 999 99.0 99.0  1.39 13.33  9.14 291 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 09 30 999 99.0 99.0  1.56 15.38  9.74 280 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 10 00 999 99.0 99.0  1.45 12.50  9.09 291 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 10 30 999 99.0 99.0  1.43 11.76  8.88 289 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 11 00 999 99.0 99.0  1.48 11.76  8.98 291 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 11 30 999 99.0 99.0  1.44 14.29  8.86 292 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 12 00 999 99.0 99.0  1.60 15.38  9.39 288 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 12 30 999 99.0 99.0  1.59 13.33  9.50 291 9999.0 999.0  16.2 999.0 99.0 99.00
2020 01 01 13 00 999 99.0 99.0  1.62 14.29  9.77 295 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 13 30 999 99.0 99.0  1.60 14.29  9.67 292 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 14 00 999 99.0 99.0  1.49 11.11  9.46 289 9999.0 999.0  16.2 999.0 99.0 99.00
2020 01 01 14 30 999 99.0 99.0  1.54 13.33  9.72 294 9999.0 999.0  16.2 999.0 99.0 99.00
2020 01 01 15 00 999 99.0 99.0  1.48 13.33  9.70 295 9999.0 999.0  16.2 999.0 99.0 99.00
2020 01 01 15 30 999 99.0 99.0  1.49 14.29  9.70 294 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 16 00 999 99.0 99.0  1.29 14.29  8.93 294 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 16 30 999 99.0 99.0  1.41 14.29  9.18 295 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 17 00 999 99.0 99.0  1.39 13.33  8.99 285 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 17 30 999 99.0 99.0  1.44 12.50  8.62 294 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 18 00 999 99.0 99.0  1.31 11.76  7.50 292 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 18 30 999 99.0 99.0  1.40 13.33  8.69 289 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 01 18 58 999 99.0 99.0  1.46 13.33  8.91 288 9999.0 999.0  16.2 999.0 99.0 99.00
2020 01 01 19 00 999 99.0 99.0  1.46 13.33  8.91 288 9999.0 999.0  16.2 999.0 99.0 99.00
2020 01 01 19 30 999 99.0 99.0  1.47 13.33  9.11 294 9999.0 999.0  16.2 999.0 99.0 99.00
2020 01 01 20 00 999 99.0 99.0  1.46 12.50  9.53 289 9999.0 999.0  16.2 999.0 99.0 99.00
2020 01 01 20 30 999 99.0 99.0  1.50 12.50  9.53 292 9999.0 999.0  16.3 999.0 99.0 99.00
2020 01 01 21 00 999 99.0 99.0  1.58 14.29  9.92 292 9999.0 999.0  16.3 999.0 99.0 99.00
2020 01 01 21 30 999 99.0 99.0  1.51 12.50  9.62 292 9999.0 999.0  16.2 999.0 99.0 99.00
2020 01 01 22 00 999 99.0 99.0  1.51 12.50  9.60 288 9999.0 999.0  16.2 999.0 99.0 99.00
2020 01 01 22 30 999 99.0 99.0  1.39 14.29  9.00 287 9999.0 999.0  16.3 999.0 99.0 99.00
2020 01 01 23 00 999 99.0 99.0  1.45 22.22  9.33 277 9999.0 999.0  16.3 999.0 99.0 99.00
2020 01 01 23 30 999 99.0 99.0  1.47 22.22  9.58 278 9999.0 999.0  16.3 999.0 99.0 99.00
2020 01 02 00 00 999 99.0 99.0  1.56 22.22  9.74 271 9999.0 999.0  16.2 999.0 99.0 99.00
2020 01 02 00 30 999 99.0 99.0  1.67 22.22 10.70 273 9999.0 999.0  16.2 999.0 99.0 99.00
2020 01 02 01 00 999 99.0 99.0  1.54 13.33  9.47 289 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 02 01 30 999 99.0 99.0  1.51 11.11  9.50 285 9999.0 999.0  16.1 999.0 99.0 99.00
2020 01 02 02 00 999 99.0 99.0  1.42 22.22  9.15 271 9999.0 999.0  16.1 999.0 99.0 99.00
