#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 01 00 00 999 99.0 99.0  0.97 14.29  6.68 260 9999.0 999.0  15.8 999.0 99.0 99.00
2017 01 01 00 30 999 99.0 99.0  0.91 14.29  5.64 257 9999.0 999.0  15.8 999.0 99.0 99.00
2017 01 01 01 00 999 99.0 99.0  0.93 13.33  5.07 267 9999.0 999.0  15.8 999.0 99.0 99.00
2017 01 01 01 30 999 99.0 99.0  0.97 13.33  5.39 260 9999.0 999.0  15.9 999.0 99.0 99.00
2017 01 01 02 00 999 99.0 99.0  0.90 11.76  4.75 237 9999.0 999.0  15.9 999.0 99.0 99.00
2017 01 01 02 30 999 99.0 99.0  0.98 14.29  4.84 246 9999.0 999.0  15.9 999.0 99.0 99.00
2017 01 01 03 00 999 99.0 99.0  0.96 14.29  4.79 244 9999.0 999.0  15.8 999.0 99.0 99.00
2017 01 01 03 30 999 99.0 99.0  1.02 13.33  4.64 266 9999.0 999.0  15.9 999.0 99.0 99.00
2017 01 01 04 00 999 99.0 99.0  1.17 14.29  4.59 232 9999.0 999.0  15.9 999.0 99.0 99.00
2017 01 01 04 30 999 99.0 99.0  1.34 12.50  4.50 264 9999.0 999.0  15.8 999.0 99.0 99.00
2017 01 01 05 00 999 99.0 99.0  1.25 13.33  4.47 274 9999.0 999.0  15.8 999.0 99.0 99.00
2017 01 01 05 30 999 99.0 99.0  1.35 14.29  4.86 256 9999.0 999.0  15.8 999.0 99.0 99.00
2017 01 01 06 00 999 99.0 99.0  1.40  5.26  5.15 289 9999.0 999.0  15.8 999.0 99.0 99.00
2017 01 01 06 30 999 99.0 99.0  1.31 14.29  5.02 259 9999.0 999.0  15.8 999.0 99.0 99.00
2017 01 01 07 00 999 99.0 99.0  1.27 13.33  4.93 266 9999.0 999.0  15.8 999.0 99.0 99.00
2017 01 01 07 30 999 99.0 99.0  1.30 12.50  4.74 264 9999.0 999.0  15.8 999.0 99.0 99.00
2017 01 01 08 00 999 99.0 99.0  1.28 13.33  4.80 247 9999.0 999.0  15.8 999.0 99.0 99.00
