#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 16 15 30 999 99.0 99.0  1.28 12.50  8.51 264 9999.0 999.0  16.5 999.0 99.0 99.00
2016 01 16 16 00 999 99.0 99.0  1.40 12.50  9.31 280 9999.0 999.0  16.5 999.0 99.0 99.00
2016 01 16 17 00 999 99.0 99.0  1.37 11.76  9.20 275 9999.0 999.0  16.5 999.0 99.0 99.00
2016 01 16 17 30 999 99.0 99.0  1.42 12.50  9.23 275 9999.0 999.0  16.5 999.0 99.0 99.00
2016 01 16 18 00 999 99.0 99.0  1.45 12.50  9.22 275 9999.0 999.0  16.6 999.0 99.0 99.00
2016 01 16 18 30 999 99.0 99.0  1.28 13.33  9.00 281 9999.0 999.0  16.7 999.0 99.0 99.00
2016 01 16 19 00 999 99.0 99.0  1.35 12.50  9.08 288 9999.0 999.0  16.8 999.0 99.0 99.00
2016 01 16 19 30 999 99.0 99.0  1.41 11.76  9.52 280 9999.0 999.0  16.8 999.0 99.0 99.00
2016 01 16 20 00 999 99.0 99.0  1.44 11.76  9.42 277 9999.0 999.0  17.0 999.0 99.0 99.00
2016 01 16 20 30 999 99.0 99.0  1.37 12.50  9.61 273 9999.0 999.0  17.1 999.0 99.0 99.00
2016 01 16 21 00 999 99.0 99.0  1.42 11.76  9.56 287 9999.0 999.0  17.1 999.0 99.0 99.00
2016 01 16 21 30 999 99.0 99.0  1.22 11.11  9.40 277 9999.0 999.0  17.1 999.0 99.0 99.00
2016 01 16 23 00 999 99.0 99.0  1.39 11.76  9.61 281 9999.0 999.0  17.1 999.0 99.0 99.00
2016 01 16 23 30 999 99.0 99.0  1.40 10.53  9.52 273 9999.0 999.0  17.1 999.0 99.0 99.00
2016 01 17 00 00 999 99.0 99.0  1.40 11.76  9.60 284 9999.0 999.0  17.0 999.0 99.0 99.00
2016 01 17 01 00 999 99.0 99.0  1.32 12.50  9.52 287 9999.0 999.0  16.9 999.0 99.0 99.00
2016 01 17 01 30 999 99.0 99.0  1.29 13.33  9.43 274 9999.0 999.0  16.9 999.0 99.0 99.00
2016 01 17 02 30 999 99.0 99.0  1.33 11.76  9.44 274 9999.0 999.0  16.8 999.0 99.0 99.00
2016 01 17 03 00 999 99.0 99.0  1.28 11.76  9.23 282 9999.0 999.0  16.8 999.0 99.0 99.00
2016 01 17 03 30 999 99.0 99.0  1.33 12.50  9.43 274 9999.0 999.0  16.7 999.0 99.0 99.00
2016 01 17 04 00 999 99.0 99.0  1.34 12.50  8.95 275 9999.0 999.0  16.7 999.0 99.0 99.00
2016 01 17 04 30 999 99.0 99.0  1.31 12.50  9.46 264 9999.0 999.0  16.7 999.0 99.0 99.00
2016 01 17 05 30 999 99.0 99.0  1.39 12.50  9.72 264 9999.0 999.0  16.7 999.0 99.0 99.00
2016 01 17 07 00 999 99.0 99.0  1.44 15.38 10.42 280 9999.0 999.0  16.7 999.0 99.0 99.00
2016 01 17 08 00 999 99.0 99.0  1.47 22.22 11.59 270 9999.0 999.0  16.6 999.0 99.0 99.00
2016 01 17 09 00 999 99.0 99.0  1.55 22.22 12.27 271 9999.0 999.0  16.6 999.0 99.0 99.00
2016 01 17 09 30 999 99.0 99.0  1.52 22.22 12.76 271 9999.0 999.0  16.6 999.0 99.0 99.00
2016 01 17 11 00 999 99.0 99.0  1.62 22.22 13.15 270 9999.0 999.0  16.6 999.0 99.0 99.00
2016 01 17 11 30 999 99.0 99.0  1.52 20.00 12.22 280 9999.0 999.0  16.6 999.0 99.0 99.00
2016 01 17 12 00 999 99.0 99.0  1.68 22.22 13.16 278 9999.0 999.0  16.6 999.0 99.0 99.00
2016 01 17 13 00 999 99.0 99.0  2.12 20.00 14.88 273 9999.0 999.0  16.6 999.0 99.0 99.00
