#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 00 999 99.0 99.0  1.86  9.09  6.57 291 9999.0 999.0  16.7 999.0 99.0 99.00
2019 01 01 00 30 999 99.0 99.0  1.79 15.38  6.57 273 9999.0 999.0  16.7 999.0 99.0 99.00
2019 01 01 01 00 999 99.0 99.0  1.68  7.14  6.56 277 9999.0 999.0  16.7 999.0 99.0 99.00
2019 01 01 01 30 999 99.0 99.0  1.81 15.38  6.78 263 9999.0 999.0  16.7 999.0 99.0 99.00
2019 01 01 02 00 999 99.0 99.0  1.76  9.09  6.72 288 9999.0 999.0  16.7 999.0 99.0 99.00
2019 01 01 02 30 999 99.0 99.0  1.75 10.53  6.59 291 9999.0 999.0  16.7 999.0 99.0 99.00
2019 01 01 03 00 999 99.0 99.0  1.76  8.33  6.84 292 9999.0 999.0  16.7 999.0 99.0 99.00
2019 01 01 03 30 999 99.0 99.0  1.68 15.38  7.07 271 9999.0 999.0  16.7 999.0 99.0 99.00
2019 01 01 04 00 999 99.0 99.0  1.66 10.53  6.11 291 9999.0 999.0  16.7 999.0 99.0 99.00
2019 01 01 04 30 999 99.0 99.0  1.77 11.11  5.47 292 9999.0 999.0  16.7 999.0 99.0 99.00
2019 01 01 05 00 999 99.0 99.0  1.80 11.76  5.50 287 9999.0 999.0  16.7 999.0 99.0 99.00
2019 01 01 05 30 999 99.0 99.0  1.79 11.11  5.45 288 9999.0 999.0  16.7 999.0 99.0 99.00
2019 01 01 06 00 999 99.0 99.0  1.63 14.29  5.65 273 9999.0 999.0  16.7 999.0 99.0 99.00
2019 01 01 06 30 999 99.0 99.0  1.57 10.53  5.81 284 9999.0 999.0  16.7 999.0 99.0 99.00
2019 01 01 07 00 999 99.0 99.0  1.45 15.38  5.93 268 9999.0 999.0  16.7 999.0 99.0 99.00
2019 01 01 07 30 999 99.0 99.0  1.34 11.11  6.12 292 9999.0 999.0  16.6 999.0 99.0 99.00
2019 01 01 08 00 999 99.0 99.0  1.34 10.53  6.73 295 9999.0 999.0  16.6 999.0 99.0 99.00
2019 01 01 08 30 999 99.0 99.0  1.35 15.38  7.15 282 9999.0 999.0  16.6 999.0 99.0 99.00
2019 01 01 09 00 999 99.0 99.0  1.50 13.33  7.50 288 9999.0 999.0  16.6 999.0 99.0 99.00
2019 01 01 09 30 999 99.0 99.0  1.42 11.11  6.87 289 9999.0 999.0  16.6 999.0 99.0 99.00
2019 01 01 10 00 999 99.0 99.0  1.48 14.29  6.68 284 9999.0 999.0  16.6 999.0 99.0 99.00
2019 01 01 10 30 999 99.0 99.0  1.46 15.38  6.62 273 9999.0 999.0  16.6 999.0 99.0 99.00
2019 01 01 11 00 999 99.0 99.0  1.45 15.38  6.51 271 9999.0 999.0  16.6 999.0 99.0 99.00
2019 01 01 11 30 999 99.0 99.0  1.53 11.11  6.08 281 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 12 00 999 99.0 99.0  1.48 13.33  5.93 287 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 12 30 999 99.0 99.0  1.50  9.88  5.65 289 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 13 00 999 99.0 99.0  1.41 14.29  5.56 281 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 13 30 999 99.0 99.0  1.50 13.33  5.46 281 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 14 00 999 99.0 99.0  1.44 13.33  5.67 284 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 14 30 999 99.0 99.0  1.43 11.76  5.51 287 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 15 00 999 99.0 99.0  1.44 13.33  5.52 285 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 15 30 999 99.0 99.0  1.42 13.33  5.15 285 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 16 00 999 99.0 99.0  1.38 12.50  5.54 277 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 16 30 999 99.0 99.0  1.41 13.33  5.15 287 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 17 00 999 99.0 99.0  1.38 13.33  5.24 288 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 17 30 999 99.0 99.0  1.37 11.11  5.17 291 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 18 00 999 99.0 99.0  1.31 12.50  4.91 284 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 18 30 999 99.0 99.0  1.28 12.50  5.20 295 9999.0 999.0  16.4 999.0 99.0 99.00
2019 01 01 19 00 999 99.0 99.0  1.25 11.76  5.25 278 9999.0 999.0  16.4 999.0 99.0 99.00
2019 01 01 19 30 999 99.0 99.0  1.34 11.76  5.04 285 9999.0 999.0  16.4 999.0 99.0 99.00
2019 01 01 20 00 999 99.0 99.0  1.30 11.11  4.93 285 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 20 30 999 99.0 99.0  1.27 12.50  4.81 295 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 21 00 999 99.0 99.0  1.24 14.29  5.08 275 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 21 30 999 99.0 99.0  1.04 12.50  5.03 274 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 22 00 999 99.0 99.0  1.08 14.29  5.69 247 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 22 30 999 99.0 99.0  0.97 11.76  6.00 284 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 23 00 999 99.0 99.0  0.97 13.33  5.97 278 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 01 23 30 999 99.0 99.0  0.91 11.11  5.66 280 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 02 00 00 999 99.0 99.0  1.09 11.76  5.62 284 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 02 00 30 999 99.0 99.0  1.07 14.29  4.67 251 9999.0 999.0  16.4 999.0 99.0 99.00
2019 01 02 01 00 999 99.0 99.0  1.16 14.29  5.41 240 9999.0 999.0  16.5 999.0 99.0 99.00
2019 01 02 01 30 999 99.0 99.0  1.05 10.53  5.23 289 9999.0 999.0  16.4 999.0 99.0 99.00
2019 01 02 02 00 999 99.0 99.0  1.05  9.88  5.19 296 9999.0 999.0  16.4 999.0 99.0 99.00
2019 01 02 02 30 999 99.0 99.0  1.04  9.88  5.52 289 9999.0 999.0  16.4 999.0 99.0 99.00
2019 01 02 03 00 999 99.0 99.0  0.98 14.29  5.73 243 9999.0 999.0  16.4 999.0 99.0 99.00
2019 01 02 03 30 999 99.0 99.0  1.09 10.53  5.31 291 9999.0 999.0  16.3 999.0 99.0 99.00
2019 01 02 04 00 999 99.0 99.0  1.03 12.50  5.18 280 9999.0 999.0  16.3 999.0 99.0 99.00
